,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder,reuse
201,slcp,2918439094,CNRE,149,149,150,0.01,0,128,3,8.666845,75.53966471354167,0.8838,0.01665771,19.852882,,0.8759,0.10884273,23.525497,,0.7798,0.06305981,26.08395,,0.90245,0.02407968,3.4273071,,0.8469,0.11588156,24.793232,,0.7844,0.013324857,12.022085,,0.95775,0.117420435,29.757973,,0.93365,0.045853376,23.919235,,0.8354,0.03394556,10.341532,,0.8524,0.053477168,2.1808195,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/88,88,False
202,gaussian_mixture,3052033046,CNRE,49,49,50,100.0,0,128,3,13.007708,30.074540201822916,0.7788,0.22172648,1.51078,,0.752,0.11412859,1.2029135,,0.7381,0.09397006,1.5551316,,0.73505,0.08729404,1.4198601,,0.75275,0.12761635,1.4334345,,0.7319,0.06992602,1.4324803,,0.7393,0.09425491,1.3912671,,0.7443,0.100868165,1.4030411,,0.7351,0.087343276,1.5657952,,0.77455,0.19403493,1.3621602,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/114,114,False
203,two_moons,3790260086,CNRE,149,149,150,1.0,0,128,3,9.347206,72.508740234375,0.6072,-2.002716e-05,0.090176694,,0.5988,-4.0769577e-05,0.09133151,,0.6002,0.0028932095,0.091180116,,0.56785,0.0031734705,0.09018943,,0.6123,0.0011594296,0.09136732,,0.51485,1.6570091e-05,0.089293785,,0.6334,0.004018545,0.08906677,,0.61325,0.002508998,0.0916234,,0.58575,0.00023180246,0.089201316,,0.61805,0.00071823597,0.09153918,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/38,38,False
204,two_moons,2256026865,CNRE,149,149,150,0.001,0,128,3,9.943489,72.19695638020833,0.5409,0.0067750216,0.092454486,,0.544,0.006563902,0.089311466,,0.604,0.00279665,0.08890357,,0.5886,0.016490936,0.09303642,,0.54925,0.0020366907,0.09427492,,0.58735,0.005751729,0.091753095,,0.62575,0.0016975403,0.090473145,,0.61035,0.004606247,0.08968266,,0.56575,0.007375419,0.08852517,,0.647,0.0007671118,0.09112531,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/41,41,False
205,gaussian_mixture,3224264401,CNRE,24,24,25,10.0,0,128,3,7.033497,19.288081868489584,0.7701,0.16490275,1.3980601,,0.7541,0.11432779,1.4234879,,0.73635,0.09045756,1.367302,,0.7371,0.081181884,1.4935551,,0.75095,0.111861706,1.3221639,,0.73435,0.073559284,1.3921316,,0.74175,0.10215473,1.5434732,,0.74575,0.09814483,1.3405175,,0.73365,0.08330041,1.3851547,,0.7725,0.15420991,1.409647,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/109,109,False
206,two_moons,2305602159,CNRE,199,199,200,0.1,0,128,3,10.298882,92.85426432291666,0.56085,-3.528595e-05,0.09022673,,0.54495,0.0013916492,0.09352157,,0.56275,0.0007879734,0.09259632,,0.5711,0.0030895472,0.09277241,,0.61885,0.0042341948,0.094880246,,0.5765,7.1525574e-06,0.09083461,,0.65085,0.0034080744,0.09131616,,0.6366,0.0040905476,0.09080778,,0.5509,0.0051430464,0.09249282,,0.6303,0.0106675625,0.08953745,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/45,45,False
207,two_moons,935777511,CNRE,199,199,200,1.0,0,128,3,10.37636,93.72401529947916,0.50455,0.00010418892,0.0906093,,0.4999,2.0980835e-05,0.09276851,,0.58345,3.182888e-05,0.09098954,,0.52545,0.00062668324,0.0888222,,0.56635,0.0019825697,0.096729875,,0.51065,3.0875206e-05,0.088962406,,0.62655,0.0018956661,0.09005597,,0.6043,9.6678734e-05,0.0885517,,0.5076,0.00021636486,0.08891701,,0.59985,0.0030694008,0.092536226,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/44,44,False
208,slcp,719062748,CNRE,24,24,25,0.001,0,128,3,8.21488,22.5577392578125,0.8556,0.026230693,19.291958,,0.82975,0.027018905,21.922714,,0.75255,0.032806993,25.735836,,0.9192,0.02744317,3.1460657,,0.78925,0.015215516,23.516844,,0.69865,0.003923297,11.291328,,0.9171,0.01549685,29.691534,,0.86255,0.011245847,24.014948,,0.74605,0.006147146,9.877909,,0.7886,0.022990465,2.3316352,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/65,65,False
209,gaussian_mixture,688013510,CNRE,1,1,2,100.0,0,128,3,7.008481,17.657950846354165,0.85785,0.1443345,1.5833504,,0.76355,0.062047124,0.35005698,,0.7419,0.0745064,0.6293458,,0.7972,0.067070246,0.3965577,,0.7672,0.03777623,0.4189705,,0.7165,0.07215488,0.2820808,,0.788,0.08081019,0.8492495,,0.78875,0.06692612,0.66478395,,0.72635,0.07152152,0.33622772,,0.8511,0.089444876,0.82244086,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/96,96,False
210,gaussian_mixture,3238386536,CNRE,74,74,75,0.001,0,128,3,11.935788,43.325398763020836,0.79115,0.116980314,0.8337861,,0.7714,0.08390188,0.62916875,,0.73005,0.07319176,0.39997622,,0.7452,0.07866156,0.60349846,,0.6998,0.06998658,0.3307722,,0.72375,0.07743657,0.23881789,,0.72185,0.07653344,0.25952935,,0.72175,0.078944445,0.40630144,,0.7346,0.074932694,0.26743498,,0.7311,0.064438224,0.3357336,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/125,125,False
211,gaussian_mixture,440184494,CNRE,199,199,200,10.0,0,128,3,15.430814,94.60597330729166,0.7623,0.06960523,0.8470239,,0.8312,0.0909363,0.42933282,,0.77315,0.082674384,0.3387754,,0.7459,0.07977104,0.3957892,,0.7406,0.07733667,0.83542466,,0.72805,0.07653344,0.2828672,,0.7311,0.077795744,0.32020324,,0.77155,0.08034611,0.3661512,,0.7575,0.08097446,0.3024704,,0.702,0.049708843,0.31451458,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/139,139,False
212,two_moons,559323052,CNRE,199,199,200,10.0,0,128,3,13.016706,94.89697265625,0.55725,0.0011126995,0.092222616,,0.5909,0.0011533499,0.09088282,,0.5916,0.0018349886,0.09193811,,0.512,0.0005840063,0.09010504,,0.58005,0.0002155304,0.09454733,,0.50925,-2.3722649e-05,0.090032965,,0.619,0.0013431311,0.09066224,,0.5968,0.0008687973,0.09039073,,0.57015,0.0022666454,0.089382395,,0.60265,0.003806591,0.08858684,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/43,43,False
213,gaussian_mixture,812573662,CNRE,24,24,25,0.1,0,128,3,7.0550966,19.4583984375,0.7802,0.22229272,1.4340471,,0.74675,0.08542997,1.4054182,,0.74185,0.08501071,1.32907,,0.73335,0.08479369,1.228168,,0.7527,0.10949677,1.1256572,,0.733,0.077163756,1.3385673,,0.7414,0.08944309,1.4393048,,0.74565,0.11444378,1.3819263,,0.7348,0.08437663,1.4367669,,0.77055,0.17481929,1.2532952,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/111,111,False
