,task,num_observation,algorithm,num_contrastive_parameters,gamma,num_blocks
80,slcp,1,CNRE,150,10.0,2
81,slcp,1,CNRE,150,10.0,3
82,slcp,1,CNRE,150,100.0,2
83,slcp,1,CNRE,150,100.0,3
84,slcp,1,CNRE,200,0.001,2
85,slcp,1,CNRE,200,0.001,3
86,slcp,1,CNRE,200,0.01,2
87,slcp,1,CNRE,200,0.01,3
88,slcp,1,CNRE,200,0.1,2
89,slcp,1,CNRE,200,0.1,3
90,slcp,1,CNRE,200,1.0,2
91,slcp,1,CNRE,200,1.0,3
92,slcp,1,CNRE,200,10.0,2
93,slcp,1,CNRE,200,10.0,3
94,slcp,1,CNRE,200,100.0,2
95,slcp,1,CNRE,200,100.0,3
96,slcp,2,CNRE,2,0.001,2
97,slcp,2,CNRE,2,0.001,3
98,slcp,2,CNRE,2,0.01,2
99,slcp,2,CNRE,2,0.01,3
100,slcp,2,CNRE,2,0.1,2
101,slcp,2,CNRE,2,0.1,3
102,slcp,2,CNRE,2,1.0,2
103,slcp,2,CNRE,2,1.0,3
104,slcp,2,CNRE,2,10.0,2
105,slcp,2,CNRE,2,10.0,3
106,slcp,2,CNRE,2,100.0,2
107,slcp,2,CNRE,2,100.0,3
108,slcp,2,CNRE,10,0.001,2
109,slcp,2,CNRE,10,0.001,3
110,slcp,2,CNRE,10,0.01,2
111,slcp,2,CNRE,10,0.01,3
112,slcp,2,CNRE,10,0.1,2
113,slcp,2,CNRE,10,0.1,3
114,slcp,2,CNRE,10,1.0,2
115,slcp,2,CNRE,10,1.0,3
116,slcp,2,CNRE,10,10.0,2
117,slcp,2,CNRE,10,10.0,3
118,slcp,2,CNRE,10,100.0,2
119,slcp,2,CNRE,10,100.0,3
120,slcp,2,CNRE,25,0.001,2
121,slcp,2,CNRE,25,0.001,3
122,slcp,2,CNRE,25,0.01,2
123,slcp,2,CNRE,25,0.01,3
124,slcp,2,CNRE,25,0.1,2
125,slcp,2,CNRE,25,0.1,3
126,slcp,2,CNRE,25,1.0,2
127,slcp,2,CNRE,25,1.0,3
128,slcp,2,CNRE,25,10.0,2
129,slcp,2,CNRE,25,10.0,3
130,slcp,2,CNRE,25,100.0,2
131,slcp,2,CNRE,25,100.0,3
132,slcp,2,CNRE,50,0.001,2
133,slcp,2,CNRE,50,0.001,3
134,slcp,2,CNRE,50,0.01,2
135,slcp,2,CNRE,50,0.01,3
136,slcp,2,CNRE,50,0.1,2
137,slcp,2,CNRE,50,0.1,3
138,slcp,2,CNRE,50,1.0,2
139,slcp,2,CNRE,50,1.0,3
140,slcp,2,CNRE,50,10.0,2
141,slcp,2,CNRE,50,10.0,3
142,slcp,2,CNRE,50,100.0,2
143,slcp,2,CNRE,50,100.0,3
144,slcp,2,CNRE,75,0.001,2
145,slcp,2,CNRE,75,0.001,3
146,slcp,2,CNRE,75,0.01,2
147,slcp,2,CNRE,75,0.01,3
148,slcp,2,CNRE,75,0.1,2
