,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,reuse,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder
90,slcp,3312616591,CNRE,74,74,75,0.001,0,False,50,2,5.0309544,16.37190144856771,0.86675,0.01670289,19.908424,,0.8072,0.027999759,22.916014,,0.755,0.0075479746,26.073729,,0.90485,0.06722534,3.1932557,,0.75635,0.0051925182,23.818144,,0.753,0.0104647875,11.271201,,0.9348,0.046880484,29.596682,,0.8985,0.007824779,24.805773,,0.7832,0.024665952,9.970179,,0.88075,0.050954342,1.783556,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/77,77
91,two_moons,3773541800,CNRE,24,24,25,100.0,0,False,50,2,4.9379616,8.758126831054687,0.52435,-1.0728836e-06,0.09170237,,0.5224,-3.504753e-05,0.08851124,,0.612,0.0010054111,0.09195091,,0.5932,0.0011176467,0.090579554,,0.5822,0.00089907646,0.09280139,,0.5903,0.00031507015,0.09173314,,0.6522,0.0020840168,0.092814825,,0.6424,0.00149858,0.093185276,,0.5855,0.0011239052,0.09068391,,0.6244,0.0040397644,0.09219907,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/12,12
92,two_moons,4234089531,CNRE,24,24,25,1.0,0,False,50,2,4.7262874,8.471746826171875,0.5534,0.0015583038,0.09115759,,0.5106,0.0010962486,0.091006756,,0.63135,0.0005787611,0.091323465,,0.5894,0.0019742846,0.09156831,,0.6466,-3.6001205e-05,0.094328076,,0.50805,0.0003362894,0.09118584,,0.6404,0.0017104149,0.09269068,,0.6292,0.0017448664,0.09062794,,0.63585,0.0017334223,0.09006917,,0.6724,0.0039595366,0.09110579,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/14,14
93,slcp,3651456191,CNRE,24,24,25,0.1,0,False,50,2,4.885836,11.514017740885416,0.87145,0.016857386,19.594524,,0.8041,0.022415519,22.702414,,0.702,0.0033012629,26.215378,,0.93065,0.26174378,3.2649634,,0.71145,0.0048656464,24.641853,,0.7429,0.004492283,11.347414,,0.94645,0.02246499,29.468235,,0.873,0.0073572397,24.677084,,0.7786,0.013926029,10.358173,,0.8335,0.044901967,2.0978632,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/63,63
94,slcp,3539857857,CNRE,9,9,10,1.0,0,False,50,2,4.9791956,10.753497314453124,0.83265,0.013873696,19.210754,,0.70945,0.006476164,22.348295,,0.71585,0.0016587973,26.574188,,0.92015,0.061059475,3.3242364,,0.77595,0.01371038,22.859499,,0.7057,0.0046179295,11.80407,,0.93635,0.057602048,29.553331,,0.93265,0.022360802,24.40356,,0.747,0.010796666,10.321942,,0.8778,0.11140895,1.917537,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/56,56
95,slcp,4080598898,CNRE,149,149,150,100.0,0,False,50,2,5.7874813,26.628053792317708,0.8611,0.030485392,20.066704,,0.7506,0.015229702,22.897282,,0.69335,0.008069158,25.754723,,0.91495,0.07421422,2.9401855,,0.6648,0.005853653,23.670036,,0.7176,0.00993371,11.119617,,0.8946,0.010582924,29.58377,,0.8631,0.013937235,23.631317,,0.708,0.0051124096,9.598117,,0.7638,0.017845273,2.1173081,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/84,84
96,gaussian_mixture,3313128274,CNRE,1,1,2,10.0,0,False,50,2,5.573945,7.109339904785156,0.7902,0.13612819,0.8883617,,0.76035,0.009441495,0.8129673,,0.7632,0.023580313,0.77186716,,0.78495,0.023943067,0.7738308,,0.76615,0.023179293,0.6214708,,0.77325,0.022170544,0.76430404,,0.7674,0.014421225,0.6382569,,0.77695,0.02726245,1.0255175,,0.7525,0.013168812,0.63654226,,0.794,0.0835377,0.7017094,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/97,97
97,slcp,2505744174,CNRE,99,99,100,1.0,0,False,50,2,5.059317,20.36166788736979,0.8598,0.012379885,19.104786,,0.7859,0.017183065,22.724047,,0.69265,0.0037726164,25.869236,,0.9126,0.018706083,3.0402253,,0.70285,0.005223274,24.087372,,0.7242,0.003031373,11.360867,,0.87845,0.0046001673,29.66598,,0.85395,0.0048730373,24.109802,,0.7801,0.019071579,9.7865,,0.85495,0.08689809,2.5376365,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/80,80
98,gaussian_mixture,1764298728,CNRE,99,99,100,0.001,0,False,50,2,2.9267101,16.890721638997395,0.76935,0.150154,1.3723621,,0.72725,0.044830322,0.85391986,,0.7137,0.031248927,1.0355494,,0.717,0.03158009,1.0617034,,0.7335,0.055766106,0.965598,,0.70765,0.013707638,1.1923301,,0.7185,0.038862586,1.123065,,0.71785,0.031175494,1.3136604,,0.7112,0.025670052,1.3024286,,0.7768,0.19501913,1.1094496,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/131,131
99,gaussian_mixture,2777152006,CNRE,9,9,10,100.0,0,False,50,2,3.3105516,7.140758260091146,0.76915,0.15849763,1.1209526,,0.7347,0.0679335,1.2831666,,0.7233,0.03589815,1.0034106,,0.72485,0.03061843,1.0013697,,0.74915,0.109411,1.2747853,,0.71075,0.028949022,1.0765961,,0.73335,0.06515056,1.1137483,,0.72765,0.03965211,1.0402946,,0.715,0.031655133,1.3330368,,0.7633,0.14497024,1.308871,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/102,102
100,two_moons,815031562,CNRE,74,74,75,1.0,0,False,50,2,4.8846235,13.744746907552083,0.5683,0.0012683868,0.09125984,,0.5153,0.0009646416,0.091109976,,0.60175,0.0007055998,0.090067685,,0.553,0.0024439692,0.09114716,,0.5967,0.0024627447,0.09209623,,0.5602,0.00055265427,0.09054336,,0.6009,0.00060248375,0.08869754,,0.58115,0.0017322302,0.08926337,,0.53145,0.0008277893,0.0900716,,0.64475,0.0033682585,0.09093433,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/26,26
101,slcp,966796225,CNRE,99,99,100,100.0,0,False,50,2,6.0243807,39.85476888020833,0.80495,0.015594721,19.527964,,0.74025,0.023549676,23.020126,,0.68865,0.0044413805,26.439938,,0.9306,0.11646062,2.839996,,0.7134,0.017505288,24.420902,,0.7217,0.0027502775,10.951666,,0.892,0.009129524,29.223938,,0.82685,0.01728332,24.701107,,0.72965,0.00853157,10.241472,,0.79915,0.0755319,1.9404874,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/78,78
102,two_moons,2021666929,CNRE,74,74,75,10.0,0,False,50,2,4.8694067,14.261357625325521,0.5293,0.0007765293,0.089328766,,0.55025,0.0007824898,0.08901785,,0.60515,0.0009844303,0.08992906,,0.5337,0.002364397,0.08847136,,0.54935,0.00024306774,0.091841705,,0.5058,-4.4703484e-05,0.08940177,,0.61185,0.000182271,0.08974253,,0.59045,0.00024676323,0.08809115,,0.5817,0.0013422966,0.089425065,,0.66365,0.008364558,0.092264116,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/25,25
103,gaussian_mixture,1175880719,CNRE,149,149,150,1.0,0,False,50,2,6.360856,22.37761027018229,0.69155,0.004354596,0.51205385,,0.6703,0.005121231,0.75742555,,0.6109,0.00062954426,1.0709031,,0.63025,0.0011703968,0.91888523,,0.7151,0.01884222,0.95811665,,0.6057,0.00019073486,0.9661861,,0.63855,0.0012276173,0.5521157,,0.61445,0.0014806986,0.9652166,,0.607,0.0005123615,1.1487255,,0.69825,0.016664267,0.9522804,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/134,134
104,gaussian_mixture,3580302277,CNRE,149,149,150,10.0,0,False,50,2,3.1999547,22.023006184895834,0.7288,0.06620914,1.0158086,,0.6972,0.04235214,1.0131185,,0.6708,0.033373475,1.3011959,,0.6721,0.023325384,1.1301513,,0.7098,0.043117642,1.1820736,,0.67045,0.028113723,1.0659723,,0.716,0.048063874,1.2542183,,0.6902,0.031684816,1.2981694,,0.67395,0.03464085,1.3899567,,0.7339,0.07863718,0.93605185,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/133,133
105,slcp,509453523,CNRE,49,49,50,0.1,0,False,50,2,5.202282,12.588408406575521,0.8442,0.0108428,19.653574,,0.82445,0.04456806,22.72248,,0.7056,0.0017720461,26.383575,,0.90165,0.0593583,3.3729184,,0.74425,0.015367866,23.811104,,0.7301,0.0058819056,11.570362,,0.91535,0.023163319,29.953468,,0.87745,0.022385001,24.290956,,0.7552,0.005479455,10.333408,,0.802,0.04206848,2.0343857,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/69,69
106,two_moons,3877780600,CNRE,149,149,150,0.01,0,False,50,2,4.793084,21.810660807291665,0.4998,0.00019836426,0.091928,,0.50545,0.0002156496,0.09292933,,0.61315,0.00035655499,0.09187326,,0.58175,0.0013058782,0.09100056,,0.5955,0.0052325726,0.09274586,,0.62205,0.00012230873,0.09128062,,0.664,0.0031021833,0.09190811,,0.6508,0.0019545555,0.09175946,,0.61725,8.583069e-05,0.091665015,,0.6079,0.0035017729,0.09267016,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/40,40
107,gaussian_mixture,2764802795,CNRE,199,199,200,0.01,0,False,50,2,3.1236534,27.312101236979167,0.786,0.27114975,1.6574676,,0.7369,0.07170355,1.138217,,0.72305,0.029013753,1.0839736,,0.72975,0.073061764,1.2359737,,0.776,0.19742614,1.2362362,,0.72625,0.033483386,1.185154,,0.73605,0.067501485,1.1990507,,0.7368,0.07497096,1.3603287,,0.7234,0.042854965,1.3370832,,0.76755,0.1464647,1.1120014,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/142,142
