,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder,reuse
180,gaussian_mixture,1341642872,CNRE,149,149,150,100.0,0,50,2,17.476065,23.066044108072916,0.72685,0.019946933,0.52473915,,0.75645,0.050269485,0.4306123,,0.7207,0.063242555,0.6474016,,0.7365,0.046437025,0.87680364,,0.71895,0.04551363,0.9039527,,0.72515,0.062081814,0.83562195,,0.70945,0.04732418,0.42719346,,0.73605,0.04292226,0.5462377,,0.71105,0.060902357,0.65761983,,0.75885,0.04917097,0.5725127,,,21508096.0,/home/ben/sci/cnre/infinite/joint/20-18-13/132,132,False
181,gaussian_mixture,1178717091,CNRE,199,199,200,10.0,0,50,2,10.218553,28.661136881510416,0.715,0.027919888,0.67798954,,0.6239,0.0036441088,1.0028534,,0.67405,0.013829827,0.93853146,,0.67385,0.032675862,1.2352107,,0.7179,0.056748092,1.2477372,,0.6736,0.028961062,1.3109984,,0.693,0.0390718,1.2292855,,0.63295,0.0062884092,0.75062597,,0.63975,0.0058637857,1.0865463,,0.7133,0.047280908,0.9432826,,,21508096.0,/home/ben/sci/cnre/infinite/joint/20-18-13/139,139,False
182,two_moons,605709696,CNRE,199,199,200,10.0,0,50,2,10.368084,28.40925496419271,0.5315,0.0009275675,0.09295354,,0.54435,0.0010684729,0.09019844,,0.5845,0.0018811226,0.090388626,,0.5143,0.000620842,0.08971462,,0.57425,0.013572216,0.09351544,,0.52275,0.00029563904,0.09103486,,0.5959,0.00014793873,0.09061147,,0.58145,0.00039887428,0.09200078,,0.52945,0.0025209188,0.0903683,,0.6069,0.0006803274,0.090959206,,,21508096.0,/home/ben/sci/cnre/infinite/joint/20-18-13/43,43,False
183,gaussian_mixture,732870904,CNRE,24,24,25,0.1,0,50,2,9.598055,7.114540608723958,0.74465,0.026562333,0.5410216,,0.7325,0.027684689,0.8206184,,0.6843,0.024062276,0.60257626,,0.7003,0.018689632,1.0002024,,0.6757,0.020109415,0.7083603,,0.63885,0.013267875,0.87735915,,0.72885,0.030102134,0.58618975,,0.7075,0.02196002,0.56103134,,0.674,0.018480778,0.61996245,,0.7665,0.049167156,0.5434369,,,21508096.0,/home/ben/sci/cnre/infinite/joint/20-18-13/111,111,False
184,two_moons,3912776255,CNRE,199,199,200,0.01,0,50,2,10.265671,28.214599609375,0.506,0.00042891502,0.091840565,,0.5271,0.0027748346,0.08976558,,0.56495,4.4345856e-05,0.09043974,,0.5142,0.0012043118,0.09235867,,0.52715,0.0026735067,0.09456787,,0.521,0.0007138252,0.08852967,,0.6175,0.0018848181,0.09120176,,0.60785,0.0003402233,0.09126344,,0.53085,0.00036740303,0.091506064,,0.60085,0.00095927715,0.09018344,,,21508096.0,/home/ben/sci/cnre/infinite/joint/20-18-13/46,46,False
185,slcp,1380133907,NRE-B,200,200,200,,False,128,3,34.18128,54.64724527994792,0.7237,0.022417307,19.477488,,0.59055,0.00089371204,22.26103,,0.64,0.006564617,26.601625,,0.908,0.039817095,2.9952536,,0.5987,0.004352808,24.260448,,0.6381,0.0008368492,11.052571,,0.855,0.0065350533,29.668179,,0.77875,0.007967472,24.168724,,0.62845,0.0006021261,9.552767,,0.62995,0.0047129393,2.249617,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-57/15,15,
186,two_moons,4267607783,NRE-B,100,100,100,,False,128,3,38.925976,22.799310302734376,0.528,0.0028008223,0.09103773,,0.52505,0.0022462606,0.08895183,,0.548,0.0013152361,0.09122649,,0.5163,0.00049966574,0.09123978,,0.53555,0.001765728,0.0951933,,0.52865,0.00053942204,0.0903743,,0.60695,0.0013005733,0.09420636,,0.59915,0.00091457367,0.0897049,,0.5234,0.004797697,0.09141512,,0.58245,0.00024175644,0.091296345,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-57/5,5,
187,gaussian_mixture,1355141832,NRE-B,150,150,150,,False,128,3,19.688936,33.90581461588542,0.69565,0.013915122,0.75428605,,0.65165,0.007797718,1.0967221,,0.64325,0.011760592,1.0731088,,0.6409,0.009224415,1.1226947,,0.68525,0.016531944,1.1943262,,0.6499,0.008196712,0.83277375,,0.6756,0.022009611,1.2541771,,0.6442,0.008849978,1.0605528,,0.6365,0.0066337585,1.0301552,,0.7105,0.059448957,1.1687524,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-57/22,22,
188,slcp,2250359815,NRE-B,10,10,10,,False,128,3,-33.60912,23.168017578125,0.8277,0.0173285,19.245995,,0.693,0.00888741,22.515581,,0.7071,0.014068365,26.106014,,0.9233,0.04931557,2.8899827,,0.70825,0.014387488,24.29248,,0.6792,0.0032699108,10.696487,,0.94695,0.058798075,30.247961,,0.8691,0.0578804,24.497623,,0.74295,0.004719496,8.977935,,0.882,0.17615318,1.6805255,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-57/9,9,
189,slcp,3878253310,NRE-B,25,25,25,,False,128,3,7.564938,19.18845011393229,0.82585,0.012977719,19.569998,,0.67735,0.0026097298,22.116383,,0.73315,0.015800118,26.690487,,0.90315,0.03665185,3.7387638,,0.685,0.00942409,24.82173,,0.6676,0.0058859587,11.33037,,0.9333,0.035849333,29.100296,,0.9363,0.01937139,24.425217,,0.6572,0.0051447153,9.573626,,0.7619,0.04076171,2.230847,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-57/10,10,
