,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,reuse,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder
46,two_moons,2830310893,CNRE,99,99,100,0.1,0,False,128,3,10.055372,50.5161376953125,0.5364,0.0036507845,0.088874415,,0.58065,0.00020575523,0.08632094,,0.6118,0.000116467476,0.08821395,,0.57625,0.0024346113,0.088784836,,0.6031,0.0011745691,0.087497264,,0.57275,0.0012968779,0.0889297,,0.64005,0.010751605,0.090662055,,0.59735,0.003128171,0.08818598,,0.6043,0.0009149909,0.086768866,,0.66135,0.004570365,0.08695738,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/33,33
47,slcp,1922007820,CNRE,49,49,50,100.0,0,False,128,3,11.485437,33.88980509440104,0.9256,0.05670917,20.136446,,0.8659,0.022213101,23.386976,,0.8176,0.12886393,25.468079,,0.95185,0.052879572,3.099,,0.8204,0.10808468,23.143452,,0.7954,0.07638705,11.358137,,0.98085,0.033534408,29.803474,,0.9241,0.1583085,23.231224,,0.79645,0.0047744513,10.250486,,0.91465,0.033716917,1.8134568,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/66,66
48,gaussian_mixture,1183972685,CNRE,199,199,200,0.1,0,False,128,3,11.722738,94.50138346354167,0.7994,0.08032429,0.44251448,,0.7191,0.064356804,0.8251077,,0.7535,0.067795515,0.64428467,,0.7836,0.07305384,0.41509378,,0.7318,0.06416619,0.48806015,,0.7521,0.07222366,0.45160627,,0.77445,0.07060075,0.34606135,,0.745,0.06420231,0.39119548,,0.71335,0.06829238,0.35966742,,0.83615,0.14613271,0.50531536,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/141,141
49,gaussian_mixture,3121181023,CNRE,199,199,200,100.0,0,False,128,3,17.46981,90.79849446614584,0.77995,0.19273078,1.4105424,,0.74505,0.09131658,1.3555727,,0.7394,0.106254935,1.387246,,0.7408,0.10118139,1.43326,,0.74495,0.09825289,1.2441158,,0.73625,0.09109378,1.5572021,,0.7416,0.0954476,1.4521747,,0.74315,0.10226679,1.4513295,,0.73635,0.0967713,1.3492479,,0.77045,0.15277714,1.1208544,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/138,138
50,two_moons,1381680342,CNRE,24,24,25,10.0,0,False,128,3,8.04421,19.148701985677082,0.53695,0.0021740198,0.09109513,,0.5747,0.0022888184,0.09061339,,0.6572,0.0015928745,0.09143379,,0.60645,0.005295694,0.09139988,,0.66675,0.00510633,0.0952056,,0.5998,0.0039001703,0.0927701,,0.6565,0.0022860765,0.08945472,,0.6406,0.0032942295,0.08999708,,0.6277,0.0029931664,0.08967856,,0.66845,0.0024701357,0.09072702,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/13,13
51,slcp,957770971,CNRE,149,149,150,0.001,0,False,128,3,9.920166,73.8702392578125,0.8646,0.012088418,19.879883,,0.81745,0.022489548,23.10135,,0.7925,0.012915373,25.921371,,0.91255,0.038744807,3.124393,,0.74695,0.0427202,23.73278,,0.7481,0.0016269684,10.636103,,0.92705,0.02236247,29.352858,,0.85425,0.012375116,24.692638,,0.7457,0.009129763,9.657499,,0.86205,0.0571115,1.6100051,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/89,89
52,two_moons,303289861,CNRE,149,149,150,0.1,0,False,128,3,10.212301,71.34342447916667,0.5525,0.0007702112,0.09029991,,0.52045,-2.4795532e-05,0.088202454,,0.59385,0.0033398867,0.09162974,,0.53695,0.0028010607,0.08875494,,0.54415,-3.170967e-05,0.095035926,,0.55715,0.005497217,0.09030327,,0.6038,0.002479434,0.087728105,,0.59775,0.0041486025,0.0928193,,0.5612,0.0028019547,0.090666644,,0.6141,0.0013483763,0.09041664,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/39,39
53,two_moons,3132894945,CNRE,24,24,25,0.01,0,False,128,3,8.436109,19.389107259114585,0.5251,0.00033020973,0.08898337,,0.55315,-1.347065e-05,0.08903619,,0.6245,-3.6120415e-05,0.08661088,,0.52125,0.0012686253,0.08868014,,0.5978,0.0014587641,0.09316867,,0.5383,-1.2278557e-05,0.08912156,,0.6297,0.0013773441,0.08808458,,0.61415,0.00096964836,0.08917284,,0.60455,4.9471855e-05,0.089332774,,0.6467,0.00026619434,0.088155404,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/16,16
54,two_moons,1414778507,CNRE,9,9,10,0.001,0,False,128,3,7.2340508,12.847035725911459,0.61375,0.00039625168,0.090575576,,0.587,0.0005686283,0.0894008,,0.62855,0.00053727627,0.09172211,,0.60045,0.0014927387,0.08995001,,0.66665,0.013352394,0.09570182,,0.6098,0.00042951107,0.090103924,,0.6481,0.00093972683,0.090461954,,0.64805,0.0008972883,0.09107365,,0.59045,0.00075757504,0.09083575,,0.61215,0.00085926056,0.089667946,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/11,11
55,slcp,4088996466,CNRE,199,199,200,0.001,0,False,128,3,10.698872,97.90458170572917,0.83405,0.0089126825,20.05143,,0.75865,0.019035459,22.046486,,0.7689,0.0115942955,26.98631,,0.9039,0.04046178,3.2139273,,0.8159,0.045134664,23.90758,,0.7265,0.009257078,10.547273,,0.9212,0.041023493,30.10004,,0.85595,0.0147253275,23.877272,,0.77325,0.019833565,9.306385,,0.737,0.01811421,2.232282,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/95,95
56,gaussian_mixture,2968401639,CNRE,9,9,10,0.01,0,False,128,3,9.405973,14.270399983723959,0.73645,0.051522374,0.4100923,,0.78735,0.06931257,0.39881894,,0.7703,0.07457876,0.6157594,,0.75405,0.070661664,0.81172013,,0.79225,0.073795676,0.66197336,,0.75685,0.07364416,0.4454754,,0.76395,0.07176769,0.33454907,,0.74175,0.068396926,0.31577617,,0.77305,0.07586467,0.6182231,,0.75635,0.05476117,0.6465137,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/106,106
