,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,reuse,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder
65,slcp_distractors,1467911880,CNRE,99,99,100,1.0,0,False,128,3,10.09508,120.9478271484375,0.9892,0.20858836,893.7201,,0.97785,0.18867695,378.2575,,0.96695,0.0592649,387.69733,,0.98615,0.16818124,570.2864,,0.9739,0.13385034,897.2246,,0.9682,0.035945892,346.50424,,0.994,0.22754717,1077.6082,,0.98035,0.15464222,425.86398,,0.96135,0.12471837,713.3286,,0.95025,0.17956239,347.70087,,,10000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-58/19,19
66,bernoulli_glm,678968237,CNRE,99,99,100,1.0,0,False,128,3,13.43936,358.49925130208334,0.68115,0.13922524,11.102414,,0.57685,0.010686398,11.8584175,,0.6699,0.06824148,11.699105,,0.6001,0.02896583,10.9706335,,0.6531,0.037112713,15.499598,,0.55215,0.006548643,13.187141,,0.5803,0.010318756,12.884903,,0.58875,0.01808405,10.356332,,0.65025,0.057878852,10.488332,,0.64205,0.035419226,15.217858,,,100000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-58/2,2
67,gaussian_linear,3022603861,CNRE,99,99,100,1.0,0,False,128,3,15.965853,205.598388671875,0.6921,0.04701662,1.5068448,,0.6531,0.029069424,1.4706336,,0.6324,0.016709566,1.4523984,,0.7208,0.05259192,1.6822636,,0.65715,0.021704435,1.3545015,,0.63095,0.018788576,1.3369197,,0.6936,0.03574145,1.4682226,,0.703,0.049530268,1.6632118,,0.6285,0.018927574,1.46941,,0.63375,0.019069314,1.5842903,,,1000.0,/home/ben/sci/cnre/infinite/sbibm/10-08-48/15,15
68,slcp,1254043234,CNRE,99,99,100,1.0,0,False,128,3,10.574745,268.090966796875,0.827,0.014078379,19.847435,,0.7617,0.014705539,22.948135,,0.6936,0.008270502,25.630688,,0.91825,0.026983619,3.3557336,,0.67975,0.01568222,23.832844,,0.70125,0.014285564,10.57552,,0.9048,0.02610588,29.298016,,0.9007,0.03702724,24.091293,,0.7328,0.007716775,9.225275,,0.75875,0.027142406,2.3341203,,,100000.0,/home/ben/sci/cnre/infinite/sbibm/10-08-48/5,5
69,bernoulli_glm_raw,3746635552,CNRE,99,99,100,1.0,0,False,128,3,13.041028,211.54855143229167,0.66275,0.024847984,3.7416575,,0.6279,0.012815833,4.472136,,0.7458,0.07908511,3.8729835,,0.78915,0.08709538,3.6055512,,0.8451,0.15010303,5.5677643,,0.76015,0.084611535,5.0,,0.75935,0.12773037,4.690416,,0.70085,0.054706573,3.8729835,,0.69615,0.06810546,3.4641016,,0.8138,0.10938007,5.3851647,,,10000.0,/home/ben/sci/cnre/infinite/sbibm/10-08-48/22,22
70,gaussian_linear_uniform,3851877327,CNRE,99,99,100,1.0,0,False,128,3,10.822673,207.10455729166668,0.7785,0.078442276,1.555769,,0.76885,0.055621624,1.5349623,,0.8279,0.13773263,1.640717,,0.7734,0.05725336,1.4823961,,0.7698,0.07484591,1.5631034,,0.72055,0.03921342,1.4350635,,0.7379,0.038123727,1.4302814,,0.74,0.054926038,1.4935155,,0.7608,0.07362956,1.5690069,,0.779,0.06921017,1.5345168,,,1000.0,/home/ben/sci/cnre/infinite/sbibm/10-08-48/9,9
71,gaussian_linear_uniform,4268785274,CNRE,99,99,100,1.0,0,False,128,3,13.736941,223.67156575520832,0.686,0.024246216,1.3642912,,0.7302,0.020895243,1.4432228,,0.73655,0.05469227,1.5416937,,0.7176,0.049811125,1.455472,,0.73155,0.059904814,1.3393406,,0.62065,0.007894754,1.3073761,,0.6529,0.013181448,1.3201957,,0.7152,0.023878098,1.3432392,,0.6814,0.027801752,1.3040938,,0.6811,0.039946914,1.4154772,,,10000.0,/home/ben/sci/cnre/infinite/sbibm/10-08-48/10,10
72,bernoulli_glm,1580452167,CNRE,99,99,100,1.0,0,False,128,3,14.320778,209.67106119791666,0.7235,0.13780701,10.709291,,0.65355,0.014452338,11.831135,,0.7769,0.1889205,11.30752,,0.71685,0.153288,10.82312,,0.69285,0.0560323,16.232193,,0.6643,0.027439117,13.610744,,0.69165,0.054816008,13.2211685,,0.7299,0.1139189,10.619471,,0.73415,0.112700105,10.328764,,0.64585,0.023664474,15.584409,,,10000.0,/home/ben/sci/cnre/infinite/sbibm/10-08-48/1,1
73,slcp_distractors,3189117567,CNRE,99,99,100,1.0,0,False,128,3,9.203876,108.27138671875,0.9891,0.13290536,895.00336,,0.98065,0.15865123,381.2508,,0.9753,0.12075281,385.5528,,0.9936,0.46274796,570.2616,,0.9734,0.13980985,895.4406,,0.9695,0.17873704,345.67657,,0.99325,0.14239407,1077.2502,,0.99035,0.13367963,426.84863,,0.96805,0.20158482,711.71594,,0.9681,0.35568026,351.48746,,,1000.0,/home/ben/sci/cnre/infinite/sbibm/10-08-48/18,18
74,bernoulli_glm_raw,1637578086,CNRE,99,99,100,1.0,0,False,128,3,20.625269,199.48798828125,0.8395,0.14821774,4.0,,0.89435,0.1799838,4.8989797,,0.9357,0.25645947,4.358899,,0.93175,0.46388698,4.358899,,0.98985,0.46349674,5.7445626,,0.97235,0.35290587,5.196152,,0.9818,0.5052997,4.8989797,,0.95135,0.40296865,4.472136,,0.8787,0.22960216,3.8729835,,0.9915,0.5743282,6.4031243,,,1000.0,/home/ben/sci/cnre/infinite/sbibm/10-08-48/21,21
